dx,      no_EB_err_tensor,     no_EB_err_scalar,     with_EB_err_tensor,  with_EB_err_scalar    
32,      0.0135080988121326,   0.0265192624928115,   0.0386180410744090,  0.00308022918532611
64,      0.0115025801653140,   0.0183642625711837,   0.0120279337651704,  0.00598639529897489
128,     0.00668368312583549,  0.0100602279670882,   0.00446850232227754, 0.00455278023562363
256,     0.00355318145476410,  0.00523983996930448,  0.00189062807665406, 0.00262203138088706
