# 1-d slice in y-direction, file: plt_2d_000400
# time =       0.594868597708E-02
#                       y                  density      CH4_ConsumptionRate                   Y(CH4)               x_velocity                     temp  
       0.996093750000E-03        1.14395671557          -0.939549650815E-13       0.392668145759E-01       0.180652930565E-15        297.999999998      
       0.103515625000E-02        1.14395669583           0.275194416764E-12       0.392668144992E-01      -0.278841401581E-15        297.999999997      
       0.107421875000E-02        1.14395667552           0.254699267489E-12       0.392668144177E-01      -0.349829819799E-15        297.999999997      
       0.111328125000E-02        1.14395665420          -0.284339765851E-13       0.392668143310E-01      -0.515950067185E-15        297.999999997      
       0.115234375000E-02        1.14395663232          -0.835052199846E-13       0.392668142391E-01      -0.559367896185E-15        297.999999997      
       0.119140625000E-02        1.14395660945          -0.516895399553E-12       0.392668141420E-01      -0.851039007239E-15        297.999999997      
       0.123046875000E-02        1.14395658605           0.213123025003E-12       0.392668140395E-01      -0.578414987776E-15        297.999999996      
       0.126953125000E-02        1.14395656169           0.114598658948E-12       0.392668139316E-01      -0.162753783958E-14        297.999999997      
       0.130859375000E-02        1.14395653683          -0.148491490134E-12       0.392668138185E-01      -0.853147829278E-15        297.999999996      
       0.134765625000E-02        1.14395651107          -0.356828847171E-12       0.392668137001E-01      -0.109759540748E-14        297.999999996      
       0.138671875000E-02        1.14395648486           0.147478048247E-12       0.392668135766E-01      -0.129064175886E-14        297.999999996      
       0.142578125000E-02        1.14395645780           0.114856029486E-12       0.392668134483E-01      -0.137316932684E-14        297.999999995      
       0.146484375000E-02        1.14395643037          -0.950078943740E-13       0.392668133153E-01      -0.163583641092E-14        297.999999995      
       0.150390625000E-02        1.14395640215          -0.216345068454E-12       0.392668131780E-01      -0.172870479941E-14        297.999999996      
       0.154296875000E-02        1.14395637363           0.198181953771E-12       0.392668130368E-01      -0.179226133182E-14        297.999999996      
       0.158203125000E-02        1.14395634441          -0.438852835229E-13       0.392668128919E-01      -0.185307466345E-14        297.999999996      
       0.162109375000E-02        1.14395631498           0.368693983899E-12       0.392668127439E-01      -0.204740079100E-14        297.999999996      
       0.166015625000E-02        1.14395628494          -0.865217702781E-13       0.392668125933E-01      -0.174793158476E-14        297.999999996      
       0.169921875000E-02        1.14395625478          -0.223665496490E-12       0.392668124406E-01      -0.163716783904E-14        297.999999996      
       0.173828125000E-02        1.14395622412           0.203801333821E-12       0.392668122862E-01      -0.175873362815E-14        297.999999996      
       0.177734375000E-02        1.14395619344           0.802954860398E-13       0.392668121309E-01      -0.232265731679E-14        297.999999996      
       0.181640625000E-02        1.14395616237           0.936541976580E-13       0.392668119750E-01      -0.251939046446E-14        297.999999996      
       0.185546875000E-02        1.14395613138           0.815710321080E-13       0.392668118193E-01      -0.243728948284E-14        297.999999996      
       0.189453125000E-02        1.14395610011           0.346170124223E-12       0.392668116642E-01      -0.208058731636E-14        297.999999997      
       0.193359375000E-02        1.14395606904           0.258039715558E-12       0.392668115104E-01      -0.185716001388E-14        297.999999997      
       0.197265625000E-02        1.14395603780          -0.264614597053E-12       0.392668113583E-01      -0.137759718054E-14        297.999999997      
       0.201171875000E-02        1.14395600687           0.163002196207E-12       0.392668112084E-01      -0.197061839924E-14        297.999999997      
       0.205078125000E-02        1.14395597588          -0.133246346357E-13       0.392668110612E-01      -0.178751070927E-14        297.999999998      
       0.208984375000E-02        1.14395594531           0.535292635413E-15       0.392668109171E-01      -0.185657010813E-14        297.999999997      
       0.212890625000E-02        1.14395591478           0.127359541065E-12       0.392668107764E-01      -0.202402902921E-14        297.999999999      
       0.216796875000E-02        1.14395588477          -0.165587493228E-12       0.392668106396E-01      -0.194908462709E-14        297.999999999      
       0.220703125000E-02        1.14395585492          -0.131877172655E-12       0.392668105069E-01      -0.160870786159E-14        297.999999999      
       0.224609375000E-02        1.14395582568          -0.327422066375E-12       0.392668103785E-01      -0.140580156320E-14        297.999999999      
       0.228515625000E-02        1.14395579669           0.161633165653E-12       0.392668102546E-01      -0.103513413034E-14        297.999999999      
       0.232421875000E-02        1.14395576841          -0.568912297202E-12       0.392668101354E-01      -0.904967691137E-15        297.999999999      
       0.236328125000E-02        1.14395574046           0.301325140512E-12       0.392668100209E-01      -0.895542546613E-15        298.000000000      
       0.240234375000E-02        1.14395571329           0.265785853036E-12       0.392668099111E-01      -0.816521689822E-15        298.000000000      
       0.244140625000E-02        1.14395568653           0.233459636815E-12       0.392668098062E-01      -0.685454464776E-15        298.000000000      
       0.248046875000E-02        1.14395566062          -0.252826498818E-12       0.392668097060E-01      -0.616629615948E-15        298.000000000      
